"Story","Title","Result","Date","Stability","Duration (s)"
"Adición de productos al carrito - Búsqueda y selección de productos","Buscar y agregar un producto al carrito","PENDING","2023-04-21T17:17:13.413-05:00[America/Bogota]","0.0","0.64"
"Busqueda en google,","Busqueda de Colombia","SUCCESS","2023-04-21T17:01:39.554-05:00[America/Bogota]","0.0","8.4"
