"Story","Title","Result","Date","Stability","Duration (s)"
"Adición de productos al carrito - Búsqueda y selección de productos","Buscar y agregar un producto al carrito desde la vista rapida","SUCCESS","2023-04-26T22:39:18.0747809-05:00[America/Bogota]","0.0","16.61"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito seleccionando la cantidad desde la vista del producto","SUCCESS","2023-04-26T22:39:35.043782-05:00[America/Bogota]","0.0","7.15"
