"Story","Title","Result","Date","Stability","Duration (s)"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito sin seleccionar una talla","PENDING","2023-04-22T07:43:13.3872136-05:00[America/Bogota]","0.0","0.05"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito sin seleccionar una cantidad","PENDING","2023-04-22T07:43:13.4554956-05:00[America/Bogota]","0.0","0.03"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito que está fuera de stock","PENDING","2023-04-22T07:43:13.5001528-05:00[America/Bogota]","0.0","0.04"
