"Story","Title","Result","Date","Stability","Duration (s)"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito seleccionando la talla desde la vista del producto","IGNORED","2023-04-26T21:00:42.7418711-05:00[America/Bogota]","0.0","0.05"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito seleccionando el color desde la vista del producto","IGNORED","2023-04-26T21:00:42.8104136-05:00[America/Bogota]","0.0","0.04"
"Adición de productos al carrito - Búsqueda y selección de productos","Agregar un producto al carrito eliminarlo del carrito y volverlo anadir","IGNORED","2023-04-26T21:00:42.8691609-05:00[America/Bogota]","0.0","0.06"
